2025-04-16 12:27:47 - INFO - [info] - Logger created
2025-04-16 12:27:47 - INFO - [info] - Connecting to vehicle...
2025-04-16 12:28:01 - INFO - [info] - Connected to vehicle
2025-04-16 12:28:01 - INFO - [info] - Sufficient number of satellites - Counted: 4, Required: 3
2025-04-16 12:28:01 - INFO - [info] - Sufficient battery level - Measured: 100, Required: 25
2025-04-16 12:28:01 - INFO - [info] - Vehicle health validated
2025-04-16 12:28:01 - INFO - [info] - Current waypoint: 5, 5
2025-04-16 12:28:01 - INFO - [info] - Pixhawk connected, running main
2025-04-16 12:28:01 - INFO - [info] - Waiting to switch to guided mode
2025-04-16 12:32:01 - INFO - [info] - Switched to guided mode
2025-04-16 12:32:03 - INFO - [info] - Mission: [[5, 5]]
2025-04-16 12:32:03 - INFO - [info] - Beginning mission
2025-04-16 12:32:03 - INFO - [info] - Current position: 4.165376663208008, 1.2599263191223145
2025-04-16 12:32:03 - INFO - [info] - Yaw command - Current yaw: 235, Final yaw: 469.7804405151682
2025-04-16 12:32:03 - INFO - [info] - Command sent
2025-04-16 12:32:27 - INFO - [info] - Adjusting velocity - Velocity X: 1, Velocity Y: 0, Altitude: 0
2025-04-16 12:32:32 - INFO - [info] - Current position: 6.630032062530518, -0.07851278781890869
2025-04-16 12:32:32 - INFO - [info] - Current position: 6.783383846282959, -0.055722907185554504
2025-04-16 12:32:33 - INFO - [info] - Current position: 6.783383846282959, -0.055722907185554504
2025-04-16 12:32:33 - INFO - [info] - Current position: 6.783383846282959, -0.055722907185554504
2025-04-16 12:32:33 - INFO - [info] - Current position: 6.934567451477051, -0.01808425970375538
2025-04-16 12:32:33 - INFO - [info] - Current position: 6.934567451477051, -0.01808425970375538
2025-04-16 12:32:33 - INFO - [info] - Current position: 7.053784370422363, 0.0380382314324379
2025-04-16 12:32:33 - INFO - [info] - Current position: 7.053784370422363, 0.0380382314324379
2025-04-16 12:32:33 - INFO - [info] - Current position: 7.053784370422363, 0.0380382314324379
2025-04-16 12:32:33 - INFO - [info] - Current position: 7.1155571937561035, 0.09694845229387283
2025-04-16 12:32:33 - INFO - [info] - Current position: 7.1155571937561035, 0.09694845229387283
2025-04-16 12:32:33 - INFO - [info] - Current position: 7.17130708694458, 0.16335102915763855
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.17130708694458, 0.16335102915763855
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.17130708694458, 0.16335102915763855
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.22887659072876, 0.21405376493930817
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.22887659072876, 0.21405376493930817
2025-04-16 12:32:34 - INFO - [info] - Current position: 7.263917446136475, 0.22827276587486267
