1969-12-31 19:05:21 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:21 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:21 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:23 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:24 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:24 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:24 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:24 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:24 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:24 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:25 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:26 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:27 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:28 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:29 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:30 - INFO - [info] - Obstacle detected.
1969-12-31 19:05:31 - INFO - [info] - Obstacle detected.
