timestamp,gps_latitude,gps_longitude,gps_altitude,gps_heading,gps_satellites,gps_fix_type,gps_hdop,gps_vdop,gps_ground_speed,zed_x,zed_y,zed_z,zed_yaw
1737315699.4298584,35.7690636,-78.6607148,118.06,8.76,10,3,1.55,4.02,0.17117242768623692,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315700.430949,35.7690653,-78.6607136,118.04,8.76,10,3,1.55,4.02,0.15524174696260024,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315701.430989,35.7690678,-78.6607113,118.08,8.76,10,3,1.55,4.02,0.1835755975068582,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315702.4313164,35.7690704,-78.6607078,118.14,8.76,10,3,1.55,4.02,0.2262741699796952,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315703.432164,35.7690743,-78.6607045,118.22,8.78,10,3,1.55,4.02,0.2758622844826744,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315704.4318345,35.7690787,-78.6607016,118.29,8.8,10,3,1.55,4.02,0.33241540277189324,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315705.4324052,35.7690819,-78.6606987,118.36,8.8,10,3,1.55,4.02,0.33941125496954283,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315706.4325294,35.7690858,-78.6606966,118.43,8.8,10,3,1.55,4.02,0.35468295701936403,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315707.4338074,35.7690891,-78.6606949,118.49,8.79,10,3,1.55,4.02,0.34205262752974136,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315708.4332201,35.7690931,-78.6606924,118.51,8.76,10,3,1.55,4.02,0.3640054944640259,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315709.4351788,35.7690962,-78.6606905,118.47,8.74,10,3,1.55,4.02,0.3360059523282289,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315710.438199,35.7690997,-78.6606909,118.46,8.72,10,3,1.55,4.02,0.2863564212655271,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315711.4418406,35.7691028,-78.6606896,118.41,8.7,10,3,1.55,4.02,0.26925824035672524,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315712.4444249,35.7691063,-78.6606888,118.4,8.7,10,3,1.55,4.02,0.2720294101747089,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315713.4469187,35.769109,-78.660689,118.39,8.7,10,3,1.55,4.02,0.25179356624028343,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315714.449463,35.7691113,-78.6606887,118.36,8.69,10,3,1.56,4.02,0.2308679276123039,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315715.4520335,35.7691136,-78.6606882,118.4,8.68,10,3,1.56,4.02,0.2202271554554524,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315716.454134,35.769115,-78.6606886,118.42,8.67,10,3,1.56,4.03,0.18027756377319948,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315717.456249,35.7691165,-78.6606881,118.35,8.65,10,3,1.56,4.03,0.15,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315718.458833,35.7691184,-78.6606871,118.38,8.62,10,3,1.56,4.03,0.14142135623730953,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315719.4606545,35.7691182,-78.6606884,118.28,8.62,10,3,1.56,4.03,0.07280109889280519,-2.329593781422168e-07,-3.1529650036665746e-08,3.4939853878201976e-08,0.4354494140722238
1737315720.462175,35.7691165,-78.6606911,118.12,8.56,11,3,1.08,2.33,0.050990195135927854,0.0002895026182803979,-0.00013286186693349522,0.000469719314651406,0.3897421861527164
1737315721.4638355,35.7691141,-78.6606927,118.1,8.56,11,3,1.08,2.33,0.1063014581273465,8.489029540076354e-05,-3.00931330413437e-05,0.0004231216886888753,0.38187874966345703
1737315722.4663124,35.7691131,-78.6606926,118.17,8.58,11,3,1.08,2.33,0.08246211251235322,-0.0005135325806788979,0.0004149762954107905,0.00028862718488776445,0.33682161555884704
1737315723.4672236,35.7691118,-78.6606912,118.34,10.52,11,3,1.08,2.33,0.10198039027185571,0.0002600426339634792,-0.000172746389919487,-0.0002791810201358616,0.4025769177445113
1737315724.4688885,35.7691114,-78.6606927,119.0,19.95,11,3,1.08,2.33,0.1044030650891055,0.0003313009181150333,-0.0002761828003465805,-0.00032184490727899667,0.4025769177445113
1737315725.4708762,35.7691133,-78.6606956,119.32,1.03,11,3,1.08,2.33,0.4393176527297759,-0.010224044827686338,-0.028149532232061916,0.26764675645475505,5.347430265202945
1737315726.4745057,35.7691157,-78.6607019,119.37,320.8,10,3,1.2,2.36,0.656048778674269,-0.033287285640698175,-0.11792716979659791,0.6177440539624715,9.417464136594361
1737315727.4728692,35.7691172,-78.6607118,119.33,297.15,10,3,1.2,2.36,0.7823042886243179,0.2443275796462343,-0.4480463584305202,0.7511087603003548,-17.437055588459657
1737315728.474221,35.7691165,-78.6607231,119.34,277.51,11,3,1.08,2.33,0.7874642849044012,0.47862937791540777,-1.0346194713133285,0.804278468459939,-52.68046029609687
1737315729.4754827,35.769114,-78.6607345,119.12,270.9,11,3,1.08,2.33,0.8766413177577246,0.5690771017581162,-1.7481587631126,0.8203956873962016,-72.70543861768388
1737315730.4770656,35.7691134,-78.6607456,119.04,268.7,11,3,1.08,2.33,0.9481033698917012,0.3741369855727646,-2.6568896160834514,0.8684685172045242,-84.83769400524953
